City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,reggane,26.7158,0.1714,26.72,16,0,3.55,DZ,1700414409
278,primero de mayo,-32.2552,-58.4228,28.64,27,32,1.44,AR,1700414410
279,mili,6.0815,171.735,28.3,76,85,6.96,MH,1700414410
280,queenstown,-31.8976,26.8753,21.75,53,83,3.28,ZA,1700414167
281,haiku-pauwela,20.9219,-156.3051,23.91,86,0,3.6,US,1700414146
282,timaru,-44.4,171.25,11.71,93,100,2.24,NZ,1700414411
283,rio grande,-32.035,-52.0986,28.06,38,1,1.28,BR,1700414216
284,kuressaare,58.2481,22.5039,2.75,73,0,6.69,EE,1700414412
285,olonkinbyen,70.9221,-8.7187,1.0,90,100,5.97,SJ,1700414413
286,fort morgan,40.2503,-103.8,11.68,57,6,3.09,US,1700414413
287,rajula,21.05,71.4333,25.3,48,0,1.68,IN,1700414414
288,geraldton,-28.7667,114.6,19.23,82,0,3.6,AU,1700414360
289,timimoun,29.2639,0.231,25.21,19,0,4.63,DZ,1700414414
290,naze,28.3667,129.4833,12.51,63,30,3.33,JP,1700414415
291,nizhnyaya tavda,57.6731,66.1725,-6.5,72,88,3.87,RU,1700414415
292,miles city,46.4083,-105.8406,2.54,87,0,0.0,US,1700414416
293,constantia,44.1833,28.65,1.5,67,45,9.04,RO,1700414416
294,sampit,-2.5333,112.95,24.01,97,83,0.96,ID,1700414416
295,labytnangi,66.6572,66.4183,-27.62,95,10,1.26,RU,1700414417
296,kolokani,13.5728,-8.0339,36.1,13,54,4.8,ML,1700414417
297,conceicao da barra,-18.5933,-39.7322,31.16,57,64,6.79,BR,1700414418
298,mar del plata,-38.0023,-57.5575,22.13,34,0,9.26,AR,1700414162
299,powell,40.1578,-83.0752,12.55,55,0,1.54,US,1700414419
300,ormond-by-the-sea,29.3491,-81.0665,25.13,72,0,4.63,US,1700414419
301,kailua-kona,19.6406,-155.9956,21.98,74,0,3.6,US,1700414132
302,san andres,12.5847,-81.7006,30.01,70,20,4.12,CO,1700414420
303,nadym,65.5333,72.5167,-23.59,100,95,4.84,RU,1700414420
